unknown,Unknown,0,不明なデータ。,特に問題はないようだ…
none,None,0,No data,特に問題はないようだ…
Server,業務サーバ,0,固定されたラックに設置された業務サーバ。ラックの扉は常に施錠されている。バックアップデータは定期的にクラウド上に保存されている。,特に問題はないようだ…。遠隔地バックアップが実施されており、拠点災害によるデータ損失リスクは小さい判断される。ただし、クラウドサービスの安全性に留意が必要。
BookCaseSet01,文書庫(オフィス側),1,顧客の名簿などを含む業務で使う資料が置かれている本棚。通常は開放されている。特に分類されているわけではないようだ。,情報は、法的要求事項・価値・重要性及び認可されていない開示、又は変更に対して取扱いに慎重を要する度合いの観点から分類することが望ましい。 その後分類に従って取り扱い、処理し、保管し、伝達するための手順を作成することが望ましい。(8.2.1 情報の分類、8.2.3 資産の取扱い　参照)
BookCaseSet02,文書庫(サーバ室側),0,鍵による施錠は可能であるが、通常は開放されている。赤色の本は持ち出し禁止とされている。,特に問題はないようだ…。在室時には人による監視があるため盗難等のリスクは低いと判断されるが、できれば通常鍵管理される箇所への保管が望ましい。
LockCabine,保管庫,0,各段を鍵による施錠が可能。主に重要な資産を保管するのに使われているとのこと。,特に問題はないようだ…。在室時には人による監視があり、また、鍵による管理があるため盗難等のリスクは低いと判断される。
PC_ServerManage,サーバ管理用PC,0,サーバを管理するPC。起動にはパスワードが必要となっている。,特に問題はないようだ…。起動パスワード管理が行われていることが前提である。
PCSet01,一般業務用PC01,1,一般業務用に使われているPC。電源を入れると職員が最後に作業した際の画面が映った。,コンピュータ又はモバイル機器は利用していない場合、キーロック又は同等の管理策（例えば、パスワードアクセス）によって認可されていない利用から保護する必要がある(11.2.8 無人状態にある利用者装置　参照)
PCSet02,一般業務用PC02,0,一般業務用に使われているPC。起動には8桁のパスワードが必要となっている。,特に問題はないようだ…
DoorInside,サーバルームへの扉,0,職員の持っているIDカードを使うことで出入りが可能で、入退室の記録が残される。,特に問題はないようだ…。管理区域への入退出が管理されており、不審者の入室のリスクは低いと判断される。また、内部事象のリスクについても記録が残るため抑止力となり、リスクは低いと判断される。ただし定期的な記録の確認が必要である。
DoorOutside,出口の扉,0,業務中は基本的に解放されているが、室内から職員が不在になる場合に最後の職員が施錠するルールとなっている。休日・夜間は施錠されている。,特に問題はないようだ…。できれば入退出の記録が残ることが望ましい。
Sofa01,ソファ,0,ふかふかのソファー。座るとなんか気持ちいいらしい。,特に問題はないようだ…
Sofa02,ソファ,0,ふかふかのソファー。座ると地味に気持ちいいらしい。,特に問題はないようだ…
MeetingSpace,会議スペース,0,会議を行ったり、休憩に使ったりされているスペース。食事をとったりしている職員もいるとか。,特に問題はないようだ…
Window01,窓,1,採光用の少し大きめの窓(透明)。部屋の内側から鍵をかけることができる。,施設は、秘密の情報又は活動が外部から見えたり聞こえたりしないように構成する。該当する場合、電磁遮蔽も考慮する。(11.1.3 オフィス、部屋及び施設のセキュリティ参照)
MonitaringCamera,監視カメラ,0,監視カメラ。過去ひと月分の映像がクラウド上に保存されている。,特に問題はないようだ…。ただし、定期的な記録の確認が必要（内部事象によるリスクのため）
ImportantBook,重要な書類,0,機密事項が書かれた書類。表紙に持ち出し厳禁と大きく書かれている。,特に問題はないようだ…。保管庫等が施錠管理されているため、盗難等のリスクは低いと判断される。
